District,StreetBlock,LATITUDE_X,LONGITUDE_X,SNA_NEIGHBORHOOD,ShootID,RMS_No,Race,Sex,Age,Type,YearOccurred,DateOccurred,TimeOccurred,DateTimeOccured,COMMUNITY_COUNCIL_NEIGHBORHOOD
2,2600 Block of PARK AV,39.1276,-84.4851,Walnut Hills,6916,2024-INC-012756,BLACK,MALE,70,NONFATAL,2024,20241102,014500,11/2/2024 1:45:00 AM,Walnut Hills
3,3500 Block of WARSAW AV,39.1111,-84.5674,East Price Hill,6915,2024-INC-012653,BLACK,MALE,33,NONFATAL,2024,20241031,154500,10/31/2024 3:45:00 PM,East Price Hill
2,3800 Block of KIRKUP AV,39.1867,-84.4055,Kennedy Heights,6912,2024-INC-012470,BLACK,MALE,16,NONFATAL,2024,20241029,170500,10/29/2024 5:05:00 PM,Kennedy Heights
2,3800 Block of KIRKUP AV,39.186,-84.4053,Kennedy Heights,6913,2024-INC-012470,BLACK,MALE,16,NONFATAL,2024,20241029,170500,10/29/2024 5:05:00 PM,Kennedy Heights
1,00 Block of GREEN ST,39.1137,-84.5181,Over-the-Rhine,6911,2024-INC-012384,BLACK,MALE,45,NONFATAL,2024,20241028,222200,10/28/2024 10:22:00 PM,OTR
1,1500 Block of VINE ST,39.1126,-84.5162,Over-the-Rhine,6909,2024-INC-012215,BLACK,MALE,41,NONFATAL,2024,20241027,010300,10/27/2024 1:03:00 AM,OTR
1,2800 Block of W MCMICKEN AV,39.134,-84.5306,CUF,6910,2024-INC-012283,BLACK,MALE,19,NONFATAL,2024,20241027,201000,10/27/2024 8:10:00 PM,CUF
1,700 Block of W COURT ST,39.1059,-84.5263,West End,6907,2024-INC-012201,BLACK,MALE,46,NONFATAL,2024,20241026,205000,10/26/2024 8:50:00 PM,West End
3,3300 Block of WERK RD,39.1406,-84.6164,Westwood,6908,2024-INC-012212,BLACK,MALE,20,NONFATAL,2024,20241026,232100,10/26/2024 11:21:00 PM,Westwood
1,700 Block of DERRICK TURNBOW AV,39.1113,-84.5273,West End,6904,2024-INC-012053,BLACK,MALE,24,NONFATAL,2024,20241024,231000,10/24/2024 11:10:00 PM,West End
3,2900 Block of VIENNA WOODS DR,39.153,-84.5899,Westwood,6905,2024-INC-011987,BLACK,FEMALE,32,NONFATAL,2024,20241024,072000,10/24/2024 7:20:00 AM,Westwood
4,5200 Block of HOLLAND DR,39.186,-84.5109,Winton Hills,6906,2024-INC-012023,BLACK,MALE,5,FATAL,2024,20241024,050000,10/24/2024 5:00:00 AM,Winton Hills
3,1000 Block of WOODLAWN AV,39.1107,-84.5665,East Price Hill,6901,2024-INC-011880,BLACK,FEMALE,29,NONFATAL,2024,20241023,003900,10/23/2024 12:39:00 AM,East Price Hill
3,1000 Block of WOODLAWN AV,39.1108,-84.5675,East Price Hill,6902,2024-INC-011880,BLACK,MALE,22,NONFATAL,2024,20241023,003900,10/23/2024 12:39:00 AM,East Price Hill
4,800 Block of CLEVELAND AV,39.1417,-84.4918,Avondale,6903,2024-INC-001875,BLACK,MALE,17,NONFATAL,2024,20241022,225200,10/22/2024 10:52:00 PM,Avondale
2,6600 Block of ROE ST,39.1555,-84.3836,Madisonville,6899,2024-INC-011763,BLACK,FEMALE,71,NONFATAL,2024,20241021,161500,10/21/2024 4:15:00 PM,Madisonville
4,400 Block of FOREST AV,39.1462,-84.4967,Avondale,6900,2024-INC-011792,BLACK,MALE,18,NONFATAL,2024,20241021,230100,10/21/2024 11:01:00 PM,Avondale
4,4000 Block of READING RD,39.1573,-84.4778,North Avondale,6894,2024-INC-011610,BLACK,MALE,33,NONFATAL,2024,20241020,011400,10/20/2024 1:14:00 AM,North Avondale
UNK,GO Block of SAMARITAN  HOSPITAL,,,,6895,2024-INC-011617,BLACK,MALE,21,NONFATAL,2024,20241020,015600,10/20/2024 1:56:00 AM,
3,2700 Block of EAST TOWER DR,39.1324,-84.5937,Westwood,6896,2024-INC-011703,WHITE,MALE,58,FATAL,2024,20241020,194700,10/20/2024 7:47:00 PM,Westwood
2,3100 Block of GILBERT AV,39.1383,-84.4797,Evanston,6897,2024-INC-011690,BLACK,MALE,32,NONFATAL,2024,20241020,191800,10/20/2024 7:18:00 PM,Evanston
